wave-length (nm),A
573.938,0.3205
574.288,0.3198
574.639,0.3185
574.989,0.3091
575.34,0.3205
575.69,0.3189
576.04,0.3103
576.391,0.3076
576.741,0.3161
577.091,0.313
577.442,0.3159
577.792,0.3079
578.142,0.3135
578.492,0.3047
578.842,0.3109
579.192,0.3133
579.542,0.3178
579.892,0.3154
580.241,0.3189
580.591,0.3144
580.941,0.3169
581.291,0.3249
581.64,0.3192
581.99,0.3162
582.339,0.3146
582.689,0.3155
583.038,0.3133
583.388,0.3259
583.737,0.3235
584.086,0.3143
584.436,0.3134
584.785,0.318
585.134,0.3179
585.483,0.3158
585.832,0.3175
586.181,0.3121
586.53,0.3232
586.879,0.3136
587.228,0.3211
587.577,0.3184
587.926,0.3172
588.275,0.315
588.623,0.3191
588.972,0.3172
589.321,0.3233
589.669,0.3196
590.018,0.3274
590.366,0.3169
590.715,0.3255
591.063,0.3233
591.412,0.3191
591.76,0.3165
592.108,0.328
592.456,0.321
592.805,0.3286
593.153,0.3301
593.501,0.3241
593.849,0.3182
594.197,0.3269
594.545,0.3252
594.893,0.3311
595.24,0.3305
595.588,0.3384
595.936,0.3366
596.284,0.3311
596.631,0.3278
596.979,0.3382
597.327,0.3346
597.674,0.3478
598.022,0.333
598.369,0.339
598.716,0.3242
599.064,0.3208
599.411,0.3436
599.758,0.3326
600.105,0.3186
600.453,0.3219
600.8,0.3298
601.147,0.3388
601.494,0.3356
601.841,0.3186
602.188,0.3316
602.535,0.3419
602.881,0.3291
603.228,0.344
603.575,0.3418
603.922,0.3409
604.268,0.3489
604.615,0.3447
604.961,0.3433
605.308,0.3397
605.654,0.3444
606.001,0.3446
606.347,0.3498
606.693,0.3434
607.04,0.3367
607.386,0.3425
607.732,0.3471
608.078,0.3499
608.424,0.3389
608.77,0.3347
609.116,0.3573
609.462,0.3428
609.808,0.3455
610.154,0.349
610.5,0.3417
610.846,0.3492
611.191,0.3428
611.537,0.3526
611.883,0.3525
612.228,0.3494
612.574,0.3609
612.919,0.3486
613.265,0.3392
613.61,0.3478
613.955,0.3498
614.301,0.3439
614.646,0.3449
614.991,0.341
615.336,0.3362
615.681,0.3518
616.026,0.3463
616.371,0.3535
616.716,0.3508
