wave-length (nm),A
743.361,0.0386
743.688,0.0353
744.014,0.0402
744.341,0.0336
744.668,0.0225
744.994,0.0394
745.321,0.0225
745.647,0.0296
745.973,0.0339
746.3,0.0325
746.626,0.0287
746.952,0.032
747.278,0.0261
747.604,0.0265
747.93,0.0206
748.256,0.029
748.582,0.029
748.908,0.0324
749.234,0.0283
749.56,0.0386
749.885,0.0356
750.211,0.0399
750.537,0.0354
750.862,0.0427
751.188,0.0397
751.513,0.034
751.839,0.0268
752.164,0.0299
752.49,0.0263
752.815,0.033
753.14,0.0137
753.465,0.0267
753.79,0.0161
754.116,0.0289
754.441,0.0315
754.766,0.0214
755.091,0.0295
755.415,0.023
755.74,0.0145
756.065,0.0224
756.39,0.0229
756.714,0.0356
757.039,0.0285
757.364,0.0334
757.688,0.0257
758.013,0.0332
758.337,0.0253
758.662,0.0285
758.986,0.0277
759.31,0.0289
759.634,0.0227
759.959,0.0289
760.283,0.0345
760.607,0.0275
760.931,0.0309
761.255,0.0274
761.579,0.0294
761.903,0.0309
762.226,0.0274
762.55,0.0303
762.874,0.0278
763.198,0.0114
763.521,0.0305
763.845,0.0285
764.168,0.0333
764.492,0.0347
764.815,0.0285
765.139,0.033
765.462,0.03
765.785,0.0371
766.109,0.0256
766.432,0.0264
766.755,0.0345
767.078,0.0341
767.401,0.0342
767.724,0.0264
768.047,0.0315
768.37,0.0292
768.693,0.0314
769.015,0.0279
769.338,0.0345
769.661,0.0344
769.983,0.0276
770.306,0.0371
770.628,0.0189
770.951,0.0255
771.273,0.0111
771.596,0.0186
771.918,0.0201
772.24,0.0249
772.562,0.0285
772.885,0.0329
773.207,0.0266
773.529,0.026
773.851,0.0281
774.173,0.0394
774.495,0.0462
774.817,0.0347
775.138,0.0328
775.46,0.0344
775.782,0.0371
776.103,0.0379
776.425,0.0396
776.747,0.0353
777.068,0.0325
777.39,0.0275
777.711,0.0292
778.032,0.0343
778.354,0.0242
778.675,0.0403
778.996,0.0229
779.317,0.0279
779.638,0.0226
779.959,0.0277
780.28,0.021
780.601,0.0287
780.922,0.0222
781.243,0.0335
781.564,0.0328
781.885,0.0209
782.205,0.0289
782.526,0.0053
782.847,0.025
783.167,0.023
783.488,0.0303
783.808,0.0191
784.128,0.0088
784.449,0.019
784.769,0.015
785.089,0.011
785.409,0.0181
785.73,0.0244
786.05,0.0281
786.37,0.0272
786.69,0.031
787.01,0.0392
787.329,0.036
787.649,0.0354
787.969,0.0245
788.289,0.0123
788.608,0.0428
788.928,0.0282
789.248,0.0329
789.567,0.027
789.887,0.031
790.206,0.0244
790.525,0.0271
790.845,0.0296
791.164,0.0368
791.483,0.0353
791.802,0.0336
792.121,0.0382
792.44,0.0266
792.76,0.0401
793.078,0.0401
793.397,0.0416
793.716,0.0349
794.035,0.0473
794.354,0.0284
794.672,0.0348
794.991,0.0392
795.31,0.0379
795.628,0.0426
795.947,0.0383
796.265,0.0337
796.584,0.0223
796.902,0.0335
797.22,0.0185
797.538,0.0267
797.857,0.0167
798.175,0.0232
798.493,0.0379
798.811,0.0325
799.129,0.0436
799.447,0.0387
799.765,0.0423
800.083,0.0476
800.4,0.0499
800.718,0.0558
801.036,0.0536
801.353,0.0487
801.671,0.0443
801.988,0.0421
802.306,0.0364
802.623,0.0238
802.941,0.0456
803.258,0.038
803.575,0.033
803.892,0.018
804.21,0.0253
804.527,0.0197
804.844,0.0213
805.161,0.0096
805.478,0.0151
805.795,0.0117
806.111,0.0247
806.428,0.0293
806.745,0.048
807.062,0.0465
807.378,0.0342
807.695,0.0467
808.011,0.0456
808.328,0.052
808.644,0.0349
808.961,0.0421
809.277,0.0384
809.593,0.0385
809.91,0.0402
810.226,0.0508
810.542,0.0429
810.858,0.0425
811.174,0.0308
811.49,0.0289
811.806,0.0349
812.122,0.0302
812.438,0.0305
812.753,0.0304
813.069,0.0153
813.385,0.0103
813.7,0.0185
814.016,0.0066
814.331,0.0045
814.647,0.0104
814.962,0.0225
815.278,0.013
815.593,0.0292
815.908,0.0279
816.223,0.0182
816.538,0.0341
816.854,0.019
817.169,0.0265
817.484,0.0341
817.799,0.0454
818.113,0.0374
818.428,0.0473
818.743,0.0399
819.058,0.0413
819.372,0.018
819.687,0.0142
820.002,0.0287
820.316,0.0125
820.631,0.0285
820.945,0.0292
821.259,0.0246
821.574,0.0268
821.888,0.0318
822.202,0.021
822.516,0.0343
822.83,0.0296
823.145,0.0256
823.459,0.0179
823.772,0.0354
824.086,0.0223
824.4,0.0449
824.714,0.0299
825.028,0.0193
825.341,0.0097
825.655,0.035
825.969,0.0457
826.282,0.0395
826.596,0.0377
826.909,0.0295
827.222,0.0219
827.536,0.0151
827.849,0.0252
828.162,0.0294
828.475,0.0374
828.789,0.0299
829.102,0.0471
829.415,0.0546
829.728,0.0343
830.041,0.0273
830.353,0.0262
830.666,0.0102
830.979,0.0316
831.292,0.0465
831.604,0.0236
831.917,0.0463
832.229,0.0317
832.542,0.0317
832.854,0.0494
833.167,0.0328
833.479,0.0314
833.791,0.0417
834.104,0.0298
834.416,0.0386
834.728,0.0251
835.04,0.0418
835.352,0.0275
835.664,0.0255
835.976,0.0323
836.288,0.0521
836.599,0.0523
836.911,0.0503
837.223,0.0353
837.535,0.0372
837.846,0.0439
838.158,0.0439
838.469,0.0528
838.781,0.0394
839.092,0.0247
839.403,0.0425
839.715,0.038
840.026,0.0391
840.337,0.0422
840.648,0.0401
840.959,0.0082
841.27,0.0288
841.581,0.0192
841.892,0.0314
842.203,0.0272
842.514,0.0147
842.825,0.0393
843.135,0.0264
843.446,0.0371
843.757,0.0363
844.067,0.0339
844.378,0.024
844.688,0.0323
844.999,0.037
845.309,0.0441
845.619,0.0227
845.929,0.0474
846.24,0.0445
846.55,0.0482
846.86,0.0438
847.17,0.0274
847.48,0.0309
847.79,0.0268
848.1,0.0486
848.409,0.0129
848.719,0.0228
849.029,0.0245
849.338,0.0124
849.648,0.0285
849.958,0.0304
850.267,0.025
850.577,0.0241
850.886,0.0481
851.195,0.0386
851.505,0.0243
851.814,0.0451
852.123,0.0202
852.432,0.0555
852.741,0.0289
853.05,0.0316
853.359,0.0467
853.668,0.0431
853.977,0.0478
854.286,0.0393
854.595,0.0078
854.903,0.0382
855.212,0.029
855.521,0.0367
855.829,0.0418
856.138,0.0436
856.446,0.039
856.754,0.0271
857.063,0.0365
857.371,0.0171
857.679,0.045
857.987,0.0566
858.296,0.0499
858.604,0.0377
858.912,0.0435
859.22,0.0459
859.527,0.0116
859.835,0.0294
860.143,0.0364
860.451,0.0395
860.759,0.0247
861.066,0.0388
861.374,0.0228
861.681,0.0246
861.989,0.0367
862.296,0.0336
862.604,0.0408
862.911,0.0289
863.218,0.0304
863.526,0.0322
863.833,0.0218
864.14,0.0163
864.447,0.0443
864.754,0.0369
865.061,0.0325
865.368,0.0447
865.675,0.0416
865.981,0.0112
866.288,0.0446
866.595,0.04
866.901,0.0317
867.208,0.0385
867.515,0.0305
867.821,0.0357
868.127,0.0389
868.434,0.0326
